sample,season,site,replicate,total_reads,richness,simpson_D,gini_simpson
Fall_Allegheny_1,Fall,Allegheny,1,2225,75,0.046998,0.953002
Fall_Allegheny_2,Fall,Allegheny,2,1737,75,0.036446,0.963554
Fall_Allegheny_3,Fall,Allegheny,3,1521,65,0.046339,0.953661
Fall_Braddock_1,Fall,Braddock,1,2118,79,0.110131,0.889869
Fall_Braddock_2,Fall,Braddock,2,2918,87,0.126896,0.873104
Fall_Braddock_3,Fall,Braddock,3,2341,97,0.059781,0.940219
Fall_Control_1,Fall,Control,1,2724,136,0.049593,0.950407
Fall_Control_2,Fall,Control,2,2415,114,0.075294,0.924706
Fall_Control_3,Fall,Control,3,3267,104,0.103701,0.896299
Fall_Monongahela_1,Fall,Monongahela,1,2139,83,0.073572,0.926428
Fall_Monongahela_2,Fall,Monongahela,2,2701,85,0.086385,0.913615
Fall_Monongahela_3,Fall,Monongahela,3,2160,72,0.092884,0.907116
Fall_Neville_1,Fall,Neville,1,1753,80,0.040495,0.959505
Fall_Neville_2,Fall,Neville,2,1767,74,0.061379,0.938621
Fall_Neville_3,Fall,Neville,3,2040,71,0.067932,0.932068
Fall_Sharpsburg_1,Fall,Sharpsburg,1,1234,54,0.042694,0.957306
Fall_Sharpsburg_2,Fall,Sharpsburg,2,2375,104,0.031726,0.968274
Fall_Sharpsburg_3,Fall,Sharpsburg,3,2088,78,0.049246,0.950754
Fall_Sharpsburg_4,Fall,Sharpsburg,4,1897,86,0.039756,0.960244
Spring_Braddock_1,Spring,Braddock,1,5254,73,0.0699,0.9301
Spring_Braddock_2,Spring,Braddock,2,3413,71,0.070834,0.929166
Spring_Control_1,Spring,Control,1,617,47,0.062221,0.937779
Spring_Monongahela_1,Spring,Monongahela,1,3533,89,0.03099,0.96901
Spring_Monongahela_2,Spring,Monongahela,2,5572,84,0.062538,0.937462
Spring_Neville_1,Spring,Neville,1,2443,71,0.054402,0.945598
Spring_Sharpsburg_1,Spring,Sharpsburg,1,2484,83,0.032857,0.967143
Summer_Allegheny_1,Summer,Allegheny,1,1790,70,0.04112,0.95888
Summer_Braddock_1,Summer,Braddock,1,2770,79,0.035828,0.964172
Summer_Braddock_2,Summer,Braddock,2,2094,61,0.035376,0.964624
Summer_Monongahela_1,Summer,Monongahela,1,2437,78,0.038767,0.961233
Summer_Neville_1,Summer,Neville,1,2552,75,0.035795,0.964205
Summer_Neville_2,Summer,Neville,2,2781,88,0.067254,0.932746
Summer_Sharpsburg_1,Summer,Sharpsburg,1,2748,83,0.041582,0.958418
Summer_Sharpsburg_2,Summer,Sharpsburg,2,3290,78,0.037898,0.962102
Winter_Allegheny_2,Winter,Allegheny,2,1944,52,0.064097,0.935903
Winter_Allegheny_3,Winter,Allegheny,3,2307,56,0.064528,0.935472
Winter_Braddock_1,Winter,Braddock,1,523,31,0.055968,0.944032
Winter_Braddock_2,Winter,Braddock,2,1142,37,0.068091,0.931909
Winter_Braddock_3,Winter,Braddock,3,1420,55,0.054551,0.945449
Winter_Control_2,Winter,Control,2,1039,63,0.033262,0.966738
Winter_Monongahela_1,Winter,Monongahela,1,1162,62,0.036648,0.963352
Winter_Monongahela_2,Winter,Monongahela,2,1480,45,0.048243,0.951757
Winter_Monongahela_3,Winter,Monongahela,3,1299,43,0.071429,0.928571
Winter_Neville_1,Winter,Neville,1,2631,68,0.048495,0.951505
Winter_Neville_2,Winter,Neville,2,1650,48,0.060666,0.939334
Winter_Neville_3,Winter,Neville,3,1630,46,0.056328,0.943672
Winter_Sharpsburg_1,Winter,Sharpsburg,1,1497,53,0.035104,0.964896
Winter_Sharpsburg_2,Winter,Sharpsburg,2,1439,61,0.027999,0.972001
Winter_Sharpsburg_3,Winter,Sharpsburg,3,2221,72,0.028446,0.971554
