,Fall_Allegheny_1,Fall_Allegheny_2,Fall_Allegheny_3,Fall_Braddock_1,Fall_Braddock_2,Fall_Braddock_3,Fall_Control_1,Fall_Control_2,Fall_Control_3,Fall_Monongahela_1,Fall_Monongahela_2,Fall_Monongahela_3,Fall_Neville_1,Fall_Neville_2,Fall_Neville_3,Fall_Sharpsburg_1,Fall_Sharpsburg_2,Fall_Sharpsburg_3,Fall_Sharpsburg_4,Spring_Braddock_1,Spring_Braddock_2,Spring_Control_1,Spring_Monongahela_1,Spring_Monongahela_2,Spring_Neville_1,Spring_Sharpsburg_1,Summer_Allegheny_1,Summer_Braddock_1,Summer_Braddock_2,Summer_Monongahela_1,Summer_Neville_1,Summer_Neville_2,Summer_Sharpsburg_1,Summer_Sharpsburg_2,Winter_Allegheny_2,Winter_Allegheny_3,Winter_Braddock_1,Winter_Braddock_2,Winter_Braddock_3,Winter_Control_2,Winter_Monongahela_1,Winter_Monongahela_2,Winter_Monongahela_3,Winter_Neville_1,Winter_Neville_2,Winter_Neville_3,Winter_Sharpsburg_1,Winter_Sharpsburg_2,Winter_Sharpsburg_3
Fall_Allegheny_1,0.0,0.580437,0.605361,0.69462,0.652607,0.66958,0.823068,0.911054,0.866928,0.685938,0.709458,0.712188,0.573171,0.513222,0.543374,0.617506,0.594562,0.590983,0.630565,0.985623,0.981391,0.996469,0.979982,0.986481,0.975867,0.96823,0.944809,0.934059,0.94401,0.93683,0.923372,0.961626,0.949736,0.95351,0.984904,0.985449,0.988962,0.979697,0.981274,0.985705,0.980126,0.980743,0.977068,0.982611,0.980531,0.982044,0.988312,0.984197,0.982376
Fall_Allegheny_2,0.580437,0.0,0.507558,0.686989,0.676429,0.686634,0.8104,0.902748,0.864791,0.71783,0.718822,0.724804,0.488523,0.549669,0.666784,0.57506,0.56274,0.579651,0.580469,0.985783,0.981207,0.991863,0.976301,0.985002,0.969428,0.977223,0.942746,0.941273,0.948683,0.931661,0.939941,0.971077,0.946194,0.950741,0.976932,0.980076,0.997338,0.971051,0.973667,0.997834,0.977064,0.973189,0.9684,0.977289,0.973325,0.975038,0.995028,0.980417,0.976468
Fall_Allegheny_3,0.605361,0.507558,0.0,0.760559,0.755537,0.780164,0.842694,0.915702,0.890639,0.780407,0.783285,0.783944,0.527215,0.608548,0.646522,0.605769,0.596542,0.611923,0.586435,0.991215,0.98852,0.995301,0.98228,0.990177,0.976768,0.97675,0.952878,0.95723,0.959113,0.954017,0.954569,0.969087,0.950848,0.956852,0.988616,0.989173,0.99211,0.98591,0.987259,0.993711,0.9864,0.986491,0.982317,0.985585,0.983979,0.986165,0.989283,0.986648,0.985633
Fall_Braddock_1,0.69462,0.686989,0.760559,0.0,0.484502,0.544713,0.878907,0.906129,0.876955,0.597826,0.58056,0.548354,0.728736,0.736174,0.762132,0.691136,0.707422,0.722745,0.722558,0.976253,0.971359,0.99633,0.971049,0.975213,0.964821,0.966771,0.933988,0.926658,0.927699,0.919848,0.919732,0.953876,0.941484,0.942717,0.972946,0.976168,0.991215,0.966719,0.969415,0.991374,0.967254,0.969054,0.964545,0.973855,0.969365,0.970895,0.989659,0.980802,0.972775
Fall_Braddock_2,0.652607,0.676429,0.755537,0.484502,0.0,0.515246,0.865245,0.920008,0.866593,0.616416,0.562916,0.575996,0.725512,0.708299,0.752704,0.733374,0.676419,0.711454,0.720096,0.974912,0.968893,0.997163,0.969489,0.972528,0.963858,0.965134,0.931215,0.926995,0.927914,0.92145,0.917475,0.947942,0.941132,0.941517,0.974045,0.975289,0.991205,0.967447,0.969596,0.988755,0.967873,0.969299,0.965661,0.973358,0.969547,0.970808,0.987618,0.978669,0.972406
Fall_Braddock_3,0.66958,0.686634,0.780164,0.544713,0.515246,0.0,0.875694,0.905409,0.871857,0.580032,0.636929,0.569749,0.708925,0.727385,0.772141,0.719556,0.686717,0.717347,0.729616,0.975449,0.973233,0.996608,0.969654,0.975398,0.963156,0.972311,0.932558,0.927837,0.932611,0.919493,0.922958,0.958943,0.950072,0.945308,0.973407,0.975083,0.991194,0.967694,0.971561,0.994347,0.970917,0.970358,0.964733,0.973364,0.968467,0.969909,0.992386,0.982503,0.975292
Fall_Control_1,0.823068,0.8104,0.842694,0.878907,0.865245,0.875694,0.0,0.676198,0.636239,0.830447,0.853066,0.867084,0.818422,0.819711,0.771532,0.815679,0.858007,0.849354,0.809021,0.99382,0.992448,0.99549,0.989666,0.992837,0.987458,0.98677,0.97479,0.969037,0.97205,0.970271,0.970938,0.978285,0.972973,0.975817,0.994182,0.995407,0.998149,0.993491,0.993931,0.998403,0.995087,0.993295,0.990718,0.992285,0.99263,0.993993,0.996195,0.99493,0.992872
Fall_Control_2,0.911054,0.902748,0.915702,0.906129,0.920008,0.905409,0.676198,0.0,0.701851,0.867727,0.904497,0.901824,0.895309,0.908949,0.899457,0.891218,0.919224,0.919107,0.888946,0.994889,0.995692,0.996691,0.994421,0.994081,0.992743,0.99239,0.973389,0.975296,0.972659,0.971598,0.974396,0.98317,0.976611,0.981068,0.996316,0.997452,0.997954,0.996049,0.996336,0.996222,0.996352,0.995616,0.99295,0.995221,0.995552,0.996278,0.997437,0.997399,0.993924
Fall_Control_3,0.866928,0.864791,0.890639,0.876955,0.866593,0.871857,0.636239,0.701851,0.0,0.833657,0.832551,0.845565,0.870387,0.860828,0.869649,0.871647,0.878553,0.900185,0.862555,0.993979,0.992762,0.997419,0.990499,0.993051,0.989381,0.983743,0.96838,0.962537,0.966056,0.961398,0.963669,0.979757,0.970563,0.970967,0.995179,0.996218,0.998414,0.994756,0.995069,0.998605,0.995008,0.994493,0.992275,0.993344,0.993861,0.995075,0.99663,0.995946,0.993951
Fall_Monongahela_1,0.685938,0.71783,0.780407,0.597826,0.616416,0.580032,0.830447,0.867727,0.833657,0.0,0.470774,0.436727,0.728935,0.730994,0.712569,0.72041,0.738754,0.753833,0.75201,0.990854,0.990729,0.996358,0.991465,0.991235,0.989413,0.988181,0.953662,0.943165,0.952228,0.941476,0.940127,0.973075,0.967462,0.963931,0.991852,0.992294,0.995851,0.988906,0.989781,0.998108,0.989284,0.989106,0.989418,0.99197,0.991483,0.990086,0.99558,0.992113,0.989337
